Year,Month,Date,Annual_Average_Inflation,12-Month_Inflation,,,,,,,,
2014,October,31/10/2014,7.08,6.43,,,,,,,,
2021,October,31/10/2021,6.07,6.45,,,,,,,,
2016,March,31/3/2016,6.88,6.45,,,,,,,,
2022,April,30/4/2022,6.05,6.47,,,,,,,,
2016,October,31/10/2016,6.48,6.47,,,,,,,,
2011,February,28/2/2011,4.05,6.54,,,,,,,,
2021,July,31/7/2021,5.53,6.55,,,,,,,,
2006,October,31/10/2006,5.94,6.55,,,,,,,,
2021,August,31/8/2021,5.71,6.57,,,,,,,,
2019,April,30/4/2019,4.91,6.58,,,,,,,,
2019,April,30/4/2019,4.91,6.58,,,,,,,,
2014,September,30/9/2014,7.19,6.6,,,,,,,,
2015,July,31/7/2015,6.54,6.62,,,,,,,,
2009,October,31/10/2009,11.42,6.62,,,,,,,,
2023,December,31/12/2023,7.67,6.63,,,,,,,,
2006,November,30/11/2006,6.12,6.64,,,,,,,,
2013,August,31/8/2013,4.5,6.67,,,,,,,,
2016,November,30/11/2016,6.43,6.68,,,,,,,,
2015,October,31/10/2015,6.31,6.72,,,,,,,,
2023,August,31/8/2023,8.52,6.73,,,,,,,,
2009,September,30/9/2009,12.41,6.74,,,,,,,,
2023,September,30/9/2023,8.32,6.78,,,,,,,,
2023,November,30/11/2023,7.87,6.8,,,,,,,,
2016,February,29/2/2016,6.87,6.84,,,,,,,,
2014,February,28/2/2014,6.21,6.86,,,,,,,,
2015,May,31/5/2015,6.65,6.87,,,,,,,,
2005,August,31/8/2005,14.53,6.87,,,,,,,,
2021,September,30/9/2021,5.35,6.91,,,,,,,,
2023,October,31/10/2023,8.1,6.92,,,,,,,,
2017,January,31/1/2017,6.26,6.99,,,,,,,,
2015,June,30/6/2015,6.63,7.03,,,,,,,,
2017,September,30/9/2017,8.4,7.06,,,,,,,,
2022,May,31/5/2022,6.16,7.08,,,,,,,,
2015,April,30/4/2015,6.69,7.08,,,,,,,,
2013,December,31/12/2013,5.72,7.15,,,,,,,,
2020,February,29/2/2020,5.72,7.17,,,,,,,,
2014,January,31/1/2014,6.01,7.21,,,,,,,,
2023,July,31/7/2023,8.68,7.28,,,,,,,,
2014,May,31/5/2014,6.85,7.3,,,,,,,,
2015,November,30/11/2015,6.42,7.32,,,,,,,,
2013,November,30/11/2013,5.39,7.36,,,,,,,,
2009,August,31/8/2009,13.42,7.36,,,,,,,,
2014,June,30/6/2014,7.05,7.39,,,,,,,,
2017,July,31/7/2017,8.21,7.47,,,,,,,,
2014,July,31/7/2014,7.19,7.67,,,,,,,,
2012,July,31/7/2012,15.27,7.74,,,,,,,,
2013,October,31/10/2013,5.05,7.76,,,,,,,,
2016,January,31/1/2016,6.77,7.78,,,,,,,,
2023,June,30/6/2023,8.77,7.88,,,,,,,,
2023,April,30/4/2023,8.71,7.9,,,,,,,,
2022,June,30/6/2022,6.29,7.91,,,,,,,,
2006,December,31/12/2006,6.39,7.98,,,,,,,,
2015,December,31/12/2015,6.58,8.01,,,,,,,,
2023,May,31/5/2023,8.78,8.03,,,,,,,,
2017,August,31/8/2017,8.36,8.04,,,,,,,,
2013,September,30/9/2013,4.75,8.29,,,,,,,,
2022,July,31/7/2022,6.45,8.32,,,,,,,,
2014,August,31/8/2014,7.33,8.36,,,,,,,,
2006,January,31/1/2006,9.36,8.39,,,,,,,,
2009,July,31/7/2009,14.35,8.44,,,,,,,,
2022,August,31/8/2022,6.61,8.53,,,,,,,,
2009,June,30/6/2009,15.11,8.6,,,,,,,,
2006,March,31/3/2006,8.61,8.85,,,,,,,,
2023,January,31/1/2023,7.95,8.98,,,,,,,,
2017,February,28/2/2017,6.43,9.04,,,,,,,,
2022,December,31/12/2022,7.66,9.06,,,,,,,,
2022,September,30/9/2022,6.81,9.18,,,,,,,,
2023,March,31/3/2023,8.59,9.19,,,,,,,,
2011,March,31/3/2011,4.49,9.19,,,,,,,,
2017,June,30/6/2017,8.13,9.21,,,,,,,,
2023,February,28/2/2023,8.3,9.23,,,,,,,,
2006,February,28/2/2006,9.01,9.39,,,,,,,,
2008,January,31/1/2008,4.69,9.4,,,,,,,,
2022,November,30/11/2022,7.38,9.48,,,,,,,,
2022,October,31/10/2022,7.48,9.59,,,,,,,,
2009,May,31/5/2009,15.93,9.61,,,,,,,,
2012,June,30/6/2012,15.97,10.05,,,,,,,,
2017,March,31/3/2017,6.76,10.28,,,,,,,,
2008,February,29/2/2008,5.32,10.58,,,,,,,,
2017,April,30/4/2017,7.2,11.48,,,,,,,,
2017,May,31/5/2017,7.84,11.7,,,,,,,,
2005,July,31/7/2005,15.34,11.76,,,,,,,,
2008,March,31/3/2008,6.13,11.9,,,,,,,,
2005,June,30/6/2005,15.1,11.92,,,,,,,,
2011,April,30/4/2011,5.2,12.05,,,,,,,,
2012,May,31/5/2012,16.4,12.22,,,,,,,,
2009,April,30/4/2009,16.72,12.42,,,,,,,,
2011,May,31/5/2011,5.96,12.95,,,,,,,,
2012,April,30/4/2012,16.5,13.06,,,,,,,,
2009,January,31/1/2009,16.56,13.22,,,,,,,,
2005,February,28/2/2005,12.6,13.94,,,,,,,,
2005,March,31/3/2005,13.07,14.15,,,,,,,,
2011,June,30/6/2011,6.88,14.48,,,,,,,,
2009,March,31/3/2009,17.07,14.6,,,,,,,,
2009,February,28/2/2009,16.87,14.69,,,,,,,,
2005,May,31/5/2005,14.61,14.78,,,,,,,,
2005,January,31/1/2005,12.27,14.87,,,,,,,,
2011,July,31/7/2011,7.88,15.53,,,,,,,,
2012,March,31/3/2012,16.45,15.61,,,,,,,,
2005,April,30/4/2005,13.76,16.02,,,,,,,,
2008,April,30/4/2008,7.32,16.12,,,,,,,,
2011,August,31/8/2011,9,16.67,,,,,,,,
2012,February,29/2/2012,15.93,16.69,,,,,,,,
2008,July,31/7/2008,10.83,17.12,,,,,,,,
2011,September,30/9/2011,10.18,17.32,,,,,,,,
2008,December,31/12/2008,16.27,17.83,,,,,,,,
2008,June,30/6/2008,9.86,17.87,,,,,,,,
2012,January,31/1/2012,15.1,18.31,,,,,,,,
2008,August,31/8/2008,11.92,18.33,,,,,,,,
2008,May,31/5/2008,8.7,18.61,,,,,,,,
2008,September,30/9/2008,13.02,18.73,,,,,,,,
2008,October,31/10/2008,14.13,18.74,,,,,,,,
2011,October,31/10/2011,11.49,18.91,,,,,,,,
2011,December,31/12/2011,14.02,18.93,,,,,,,,
2008,November,30/11/2008,15.25,19.54,,,,,,,,
2011,November,30/11/2011,12.82,19.72,,,,,,,,
